
--- SHEET: PRICE LIST ---
   Unnamed: 0   Unnamed: 1 Unnamed: 2 Unnamed: 3 Unnamed: 4 Unnamed: 5 Unnamed: 6 Unnamed: 7 Unnamed: 8  Unnamed: 9  Unnamed: 10 Unnamed: 11  Unnamed: 12 Unnamed: 13 Unnamed: 14 Unnamed: 15 Unnamed: 16 Unnamed: 17 Unnamed: 18 Unnamed: 19
0       SHAPE        ROUND        NaN        NaN        NaN        NaN        NaN        NaN        NaN         NaN          NaN       SHAPE        FANCY         NaN         NaN         NaN         NaN         NaN         NaN         NaN
61          M          270        270        243        229        202        175        150        150         NaN          NaN           M          216         216       194.4       183.2       161.6         140         120         120
62       CAPE          202        202        189        175        162        150        150        150         NaN          NaN        CAPE        161.6       161.6       151.2         140       129.6         120         120         120
63        NaN  0.116-0.158        NaN        NaN        NaN        NaN        NaN        NaN        NaN         NaN          NaN         NaN  0.116-0.158         NaN         NaN         NaN         NaN         NaN         NaN         NaN
64        DEF         1068       1068        963        963        792        623        453        283         NaN          NaN         DEF        854.4       854.4       770.4       770.4       633.6       498.4       362.4       226.4
65          G         1068       1068        792        792        792        528        396        304         NaN          NaN           G        854.4       854.4       633.6       633.6       633.6       422.4       316.8       243.2
66          H          792        792        792        792        792        634        475        250         NaN          NaN           H        633.6       633.6       633.6       633.6       633.6       507.2         380         200
67          I          713        713        765        642        566        428        306        191         NaN          NaN           I        570.4       570.4         612       513.6       452.8       342.4       244.8       152.8
68          J          713        713        765        642        566        428        306        191         NaN          NaN           J        570.4       570.4         612       513.6       452.8       342.4       244.8       152.8
69          K          642        642        535        459        382        306        229        153         NaN          NaN           K        513.6       513.6         428       367.2       305.6       244.8       183.2       122.4
70          L          306        306        275        260        229        199        153        150         NaN          NaN           L        244.8       244.8         220         208       183.2       159.2       122.4         120
71          M          306        306        275        260        229        199        153        150         NaN          NaN           M        244.8       244.8         220         208       183.2       159.2       122.4         120
72       CAPE          229        229        214        199        184        168        153        150         NaN          NaN        CAPE        183.2       183.2       171.2       159.2       147.2       134.4       122.4         120
73        NaN  0.159-0.200        NaN        NaN        NaN        NaN        NaN        NaN        NaN         NaN          NaN         NaN  0.159-0.200         NaN         NaN         NaN         NaN         NaN         NaN         NaN
74        DEF         1200       1200       1100        900        700        550        400        250         NaN          NaN         DEF          960         960         880         720         560         440         320         200
75          G         1000       1000        800        700        600        400        300        230         NaN          NaN           G          800         800         640         560         480         320         240         184
76          H          800        800        700        600        500        400        300        150         NaN          NaN           H          640         640         560         480         400         320         240         120
77          I          600        600        500        420        370        280        200        125         NaN          NaN           I          480         480         400         336         296         224         160         100
78          J          600        600        500        420        370        280        200        125         NaN          NaN           J          480         480         400         336         296         224         160         100
79          K          400        400        350        300        250        200        150        100         NaN          NaN           K          320         320         280         240         200         160         120          80
80          L          200        200        180        170        150        130        100         90         NaN          NaN           L          160         160         144         136         120         104          80          72
81          M          200        200        180        170        150        130        100         90         NaN          NaN           M          160         160         144         136         120         104          80          72
82       CAPE          150        150        140        130        120        110        100         80         NaN          NaN        CAPE          120         120         112         104          96          88          80          64

